id,Original Sentence,Human 1 Writing,Human 1,Human 2 Writing,Human 2,GPT-3-zero-shot,GPT-3-few-shot,Muss,T5-3B,T5-11B
26,"The news of his death came after Pope Francis, Benedict's successor, announced a deterioration in his health on 28 December and asked the faithful for prayers.",Pope Benedict died after Pope Francis announced the decline of his health on 28 December.,vinayak,"On December 28, Pope Francis asked his followers to pray for Pope Benedict XVI because the previous Pope was very sick. News of Benedict’s death was announced after.",rachel,"Pope Francis, Benedict's successor, reported a decline in his health on December 28th and asked people to pray. Later, the news of his death was announced.","Pope Francis, Benedict's successor, notified people of a decline in his health on 28 December. Subsequently, the news of his death was reported and the faithful were asked to pray.","The news of his death came after Pope Francis, Benedict's successor, said on 28 December that his health was getting worse, and he asked for prayers.","The news of his death came after Pope Benedict's successor, Pope Francis, announced a deterioration in his health on 28 December and asked the faithful for prayers.","The news of his death came after Pope Francis, Benedict's successor, announced a deterioration in his health on 28 December and asked the faithful for prayers."
27,"Born on September 27, 1940 in Keekozhur, a small hamlet in the Pathanamthitta district, in the south Indian state of Kerala, Thomas Mathew did his education at Christian College, Chengannur, and Maharaja's College, Ernakulam, and started his career as a lecturer at his alma mater, Christian College, Chengannur.","Thomas Mathew was born in Keekozhur, Kerala, India on September 27, 1940. He studied at Christian College and Maharaja’s College, and later, he started his career as a lecturer at Christian College.",anton,"Thomas Mathew was born on September 27, 1940 in Keekozhur, which is a small village in Kerala, India. He studied at Christian College, Chengannur, and Maharaja’s College, Ernakulam. After finishing his education, he started working as a teacher at Christian College.",vishnesh,"Thomas Mathew was born on September 27, 1940 in Keekozhur, Kerala. He attended Christian College in Chengannur and Maharaja's College in Ernakulam. After graduating, he became a lecturer at Christian College in Chengannur.","Thomas Mathew was born on September 27, 1940 in Keekozhur, Kerala, India. He studied at Christian College, Chengannur and Maharaja's College, Ernakulam and began his career by teaching at Christian College, Chengannur.","Thomas Mathew was born on September 27, 1940 in Keekozhur, a small hamlet in the Pathanamthitta district, in the south Indian state of Kerala, Thomas Mathew did his education at Maharaja's College, Ernakulam and Christian College, Chengannur, where he was a very good student.","Mathew was born in Keekozhur, a small hamlet in the Pathanamthitta district, in the south Indian state of Kerala. He did his education at Christian College, Chengannur, and Maharaja's College, Ernakulam.","He was born in Keekozhur, a small hamlet in the Pathanamthitta district, in the south Indian state of Kerala. Mathew did his education at Christian College, Chengannur, and Maharaja's College, Ernakulam, and started his career as a lecturer at his alma mater, Christian College, Chengannur."
28,"Stephany initially announced her intent to remain as Minority Leader of the Vermont House while campaigning for mayor, stating that she would turn over day-to-day duties to Assistant Minority Leader Paul N. Poirier.","When Stephany was running for mayor, she said she wanted to stay as the Minority Leader of the Vermont House. She said she would give the day-to-day duties to Paul N. Poirier, the Assistant Minority Leader.",vishnesh,"Stephany is campaigning for mayor, but announced she would also try to remain as Minority Leader of the Vermont House. She stated she would give day-to-day work to Assistant Minority Leader Paul N. Poirier.",rachel,Stephany declared that she would remain the Minority Leader of the Vermont House while running for mayor. She also said she would give her daily duties to Assistant Minority Leader Paul N. Poirier.,"Stephany announced she would stay as the Minority Leader of the Vermont House while running for mayor and said she would assign her daily duties to Paul N. Poirier, the Assistant Minority Leader.","At first, Stephany said she would stay as Minority Leader of the Vermont House while she was running for mayor, but later she said she would not do that and that Paul N. Poirier would take over.","At first, Stephany said she would stay as Minority Leader of the Vermont House while campaigning for mayor. She said that she would turn over day-to-day duties to Assistant Minority Leader Paul N. Poirier.","Stephany announced her intent to remain as Minority Leader of the Vermont House while campaigning for mayor, stating that she would turn over day-to-day duties to Assistant Minority Leader Paul N. Poirier."
29,"A high-profile affair at the time, the impeachment pitted the two major United States political parties of the era against each other amid a battle between the parties over, among other things, what the role of Federal courts should look like.",The impeachment created a battle between the two major political parties of the era. The parties argued over what the role of Federal courts is and other things.,anton,The impeachment caused hostility between the two major political parties during a battle between them over the role of Federal courts and other issues.,vinayak,"An important political event, the impeachment caused conflict between the two major parties in the US at the time. They disagreed on many issues, including the role of Federal courts.","The impeachment was a major event during that time. It was a struggle between the two major U.S. political parties about, for example, the role of Federal courts.","It was a high-profile affair at the time, because the two major United States political parties of the time, the Democratic Party and the Republican Party, were against each other and wanted to impeach the President.","A high-profile affair at the time, the impeachment pitted the two major United States political parties against each other. The parties had a battle between them over, among other things, what the role of Federal courts should look like.","The impeachment was a high-profile affair at the time. The impeachment pitted the two major United States political parties of the era against each other amid a battle between the parties over, among other things, what the role of Federal courts should look like."
30,"LaSalle's nomination was opposed by progressive members of the New York State Senate, who criticized LaSalle's record on abortion and labor cases, which they perceived as conservative.",Progressive members of the New York State Senate did not want LaSalle to be nominated. They thought he was conservative because of his record on abortion and labor cases.,vishnesh,"Progressive members of the New York State Senate did not like LaSalle’s nomination. They criticized LaSalle's previous work on abortion and labor cases, which they thought were conservative.",kelly,Progressive members of the New York State Senate opposed LaSalle's nomination. They saw his record on abortion and labor cases as conservative and voiced their criticism.,"LaSalle's appointment was disagreed with by the progressive members of the New York Senate. They spoke out against LaSalle because of how he handled cases involving abortion and labor, which they considered too conservative.",LaSalle's first job was in the New York State Senate. Some members of the New York State Senate did not like LaSalle because they thought she was too conservative.,"LaSalle's nomination was opposed by progressive members of the New York State Senate. They criticized LaSalle's record on abortion and labor cases, which they perceived as conservative.","LaSalle's nomination was opposed by progressive members of the New York State Senate. They criticized LaSalle's record on abortion and labor cases, which they perceived as conservative."
31,"In 2022, the poll's inaugural cycle, Phillips Academy correctly predicted all senate races polled before Election Day, including Catherine Cortez Masto's victory in Nevada, but the poll overestimated Republicans in the Arizona governor race and the Georgia senate runoff.","In 2022, the Philips Academy poll correctly predicted the winners of all senate races which were polled before Election Day. This included Catherine Cortez Masto’s win in Nevada. However, the poll wrongly predicted more Republicans in the Arizona governor race and the Georgia senate runoff.",vishnesh,"In 2022, the Phillips Academy poll was used for the first time. It correctly predicted the result of all senate races polled before Election Day. This included Catherine Cortez Masto’s victory in Nevada, but the poll overestimated Republican performance in the Arizona governor race and the Georgia senate runoff.",rachel,"Phillips Academy correctly predicted all senate races in the 2022 poll before Election Day, including Catherine Cortez Masto's win in Nevada. However, the poll was inaccurate in the Arizona governor race and the Georgia senate runoff, overestimating the Republican vote.","In 2022, Phillips Academy correctly forecasted all senate races polled before Election Day, such as Catherine Cortez Masto's win in Nevada. However, it overestimated the Republican party in the races for the Arizona governor and Georgia senate runoff.","In 2022, Phillips Academy correctly predicted all senate races before Election Day, including Catherine Cortez Masto's victory in Nevada. However, the poll did not predict the Arizona governor's race or the Georgia senate runoff correctly.","In 2022, the poll's first cycle, Phillips Academy correctly predicted all senate races polled before Election Day, including Catherine Cortez Masto's victory in Nevada. The poll also overestimated Republicans in the Arizona governor race and the Georgia senate runoff.","In 2022, the poll's first cycle, Phillips Academy correctly predicted all senate races polled before Election Day, including Catherine Cortez Masto's victory in Nevada, but the poll overestimated Republicans in the Arizona governor race and the Georgia senate runoff."
32,"Born on April 27, 1944, in Detroit, Michigan, Barnes was regularly mistreated by his alcoholic parents, with him claiming that his mother had attempted to miscarry by ingesting a quantity of drugs.",Barnes was regularly mistreated by his alcoholic parents. He claimed his mother wanted to miscarry by taking a quantity of drugs.,vinayak,"Born on April 27, 1944, Barnes was abused by his alcoholic parents, with his mother attempting to miscarry him by taking several drugs.",ayush,"Barnes was born in Detroit, Michigan on April 27, 1944. His alcoholic parents regularly mistreated him, and he claimed that his mother had tried to cause a miscarriage by taking drugs.","Barnes was born in Detroit, Michigan on April 27, 1944. His alcoholic parents mistreated him regularly. He said his mother had tried to cause a miscarriage by taking drugs.","Early life Barnes was born on April 27, 1944, in Detroit, Michigan. His parents were both alcoholics and Barnes said that his mother tried to have a baby but she did not have a baby.","He was born in Detroit, Michigan.","He was born in Detroit, Michigan."
33,"The DC Native History Project was established to work with local tribe members to gain further understanding and recognition of the Anacostan heritage of the region, and to create an interactive map of Washington, D.C. with identified original village sites and the locations of artifact excavations.","The DC Native History Project was established to recognize the Anacostan heritage of the region. They also want to make an interactive map of Washington, D.C that contains original village sites and locations of artifact excavations.",vinayak,The DC Native History Project had two goals. One goal was to work with Anacostan tribe members to better understand their culture in the region. The second was to create a map of Washington DC with locations of original village sites and where artifacts have been discovered.,rachel,"The DC Native History Project was set up to collaborate with local tribal members to learn more about and show respect for the Anacostan culture of the area. They also built an interactive map of Washington, D.C. which shows the original village sites and where artifacts have been excavated.","The DC Native History Project was created to collaborate with indigenous people from the area and to bring awareness to the Anacostan culture of the region. They are also making an interactive map of Washington, D.C. that shows the original village sites and places where artifacts were discovered.","The DC Native History Project was established to work with local tribe members to create an interactive map of Washington, D.C. with identified original village sites and the locations of artifact excavations. They also want to learn more about the history of the Anacostan area.","The DC Native History Project works with local tribe members to gain further understanding and recognition of the Anacostan heritage of the region, and to create an interactive map of Washington, D.C. with identified original village sites and the locations of artifact excavations.","The DC Native History Project was established to work with local tribe members to gain further understanding and recognition of the Anacostan heritage of the region. The project will create an interactive map of Washington, D.C. with identified original village sites and the locations of artifact excavations."
34,"With the loss of US Naval Base Philippines in the Philippines campaign of 1941 and 1942, Hawaiian became the US Navy's main base for the early part of the island-hopping Pacific War against the Empire of Japan.",Hawaii became the main US naval base for the early part of the Pacific War against Japan after the loss of the US Naval Base in the Philippines in 1941 and 1942.,vinayak,After the US Navy lost their base in the Philippines during the Philippines campaign of 1941 and 1942. Hawaii became their main base for the early part of the Pacific War against Japan.,kelly,"The US Navy lost its base in the Philippines in 1941 and 1942, so Hawaii became the primary base for their island-hopping campaign against the Empire of Japan in the Pacific War.","During the 1941 and 1942 Philippines campaign, the US Navy lost their naval base in the Philippines and Hawai'i became their primary base for the Pacific War against Japan.","After the United States lost the Philippines in World War II, Hawaiian became the main base for the United States Navy when they were fighting in the Pacific against the Empire of Japan.","With the loss of US Naval Base Philippines in the Philippines campaign of 1941 and 1942, Hawaiian became the U.S. Navy's main base for the early part of the Pacific War against the Empire of Japan.","With the loss of U.S. Naval Base Philippines in the Philippines campaign of 1941 and 1942, Hawaiian became the U.S. Navy's main base for the early part of the island-hopping Pacific War against the Empire of Japan."
35,"In time Eliot relocated to Washington, D.C., first as director of the National Capital Park and Planning Commission until 1933, involved in the development of the National Mall, then until 1943 as Director of the National Resources Planning Board, which formed part of the Public Works Administration.","Eventually, Eliot moved to Washington, D.C. He was the director of the National Capital Park and Planning Commission until 1933. Here, he helped develop the National Mall. Then, he was the director of the National Resources Planning Board until 1943. This was a part of the Public Works Administration.",vishnesh,"Eliot moved to Washington, D.C. He was the director of the National Capital Park and Planning Commission until 1933, helping make the National Mall. Then he was Director of the National Resources Planning Board until 1943.",kelly,"Eliot moved to Washington, D.C. and worked in various positions related to the improvement of the city. From 1933-1943, he was Director of the National Capital Park and Planning Commission, and also worked on the development of the National Mall. After that, he was Director of the National Resources Planning Board, a part of the Public Works Administration.","Eliot moved to Washington, D.C. in 1933. His job was to direct the National Capital Park and Planning Commission and develop the National Mall. He worked in this role until 1943 when he switched to the National Resources Planning Board, which was part of the Public Works Administration.","When he moved to Washington, D.C., he worked for the National Capital Park and Planning Commission until 1933. He helped with the building of the National Mall. After that, he worked for the National Resources Planning Board, which was part of the Public Works Administration.","In time, Eliot relocated to Washington, D.C., first as director of the National Capital Park and Planning Commission until 1933, involved in the development of the National Mall, then until 1943 as Director of the National Resources Planning Board, which formed part of the Public Works Administration.","In time Eliot relocated to Washington, D.C., first as director of the National Capital Park and Planning Commission until 1933, then until 1943 as Director of the National Resources Planning Board, which formed part of the Public Works Administration."
36,"One of the most important Aghlabid monuments is the Great Mosque of Kairouan, which was completely rebuilt in 836 by the emir Ziyadat Allah I, although various additions and repairs were effected later, which complicate the chronology of its construction.","The Great Mosque of Kairouan is one of the most important Aghlabid monuments. The order of events of the monument’s construction is complicated. In addition to being rebuilt in 836 by the emir Ziyadat Allah I, the monument has also undergone many additions and repairs.",rachel,"One of the most important Aghlabid monuments is the Great Mosque of Kairouan. It was rebuilt in 836 by the emir Ziyadat Allah I. However, some additions and repairs were made later, which make the history of its construction more complicated.",kelly,"The Great Mosque of Kairouan, built by the emir Ziyadat Allah I in 836, is one of the most significant monuments of the Aghlabid era. Subsequent additions and repairs have complicated the timeline of its construction.","The Great Mosque of Kairouan was a very important Aghlabid monument. It was reconstructed in 836 by emir Ziyadat Allah I, but further repairs and modifications were done in later years. This makes it difficult to know the exact timeline of its construction.","One of the most important Aghlabid monuments is the Great Mosque of Kairouan, which was completely rebuilt in 836 by the emir Ziyadat Allah I. The emir Ziyadat Allah I added more parts to the mosque during his rule.",One of the most important Aghlabid monuments is the Great Mosque of Kairouan. It was completely rebuilt in 836 by the emir Ziyadat Allah I.,"One of the most important Aghlabid monuments is the Great Mosque of Kairouan, which was completely rebuilt in 836 by the emir Ziyadat Allah I."
37,"Slovenian point guard, Luka Doncic of the Dallas Mavericks, scores the first 60-point triple-double in the National Basketball Association, the premier men's professional basketball league in the world, after recording 60 points, 21 rebounds, and 10 assists in the Mavericks' 126–121 overtime win against the New York Knicks in Dallas.","Luka Doncic, a point guard for the Dallas Mavericks, scores the first 60-point triple-double in the NBA. He gained 60 points, 21 rebounds, and 10 assists in a 126-121 win over the New York Knicks.",vinayak,"Luca Doncic, a point guard for the Dallas Mavericks, scored the first 60-point triple-double in the NBA. He had 60 points, 21 rebounds, and 10 assists in the Maverick’s overtime win against the New York Knicks at home.",anton,"Luka Doncic, a Slovenian point guard for the Dallas Mavericks, achieved a milestone in the National Basketball Association - the premier men's professional basketball league worldwide. He scored 60 points, grabbed 21 rebounds and made 10 assists, earning the first 60-point triple-double in the league's history. The Mavericks won the game 126–121 in overtime against the New York Knicks in Dallas.","Luka Doncic of the Dallas Mavericks, a Slovenian point guard, scored the first 60-point triple-double in the National Basketball Association. He had 60 points, 21 rebounds, and 10 assists, helping his team to a 126–121 overtime win against the New York Knicks in Dallas.","Luka Doncic of the Dallas Mavericks becomes the first player in history to record a triple-double in the National Basketball Association. Doncic had 60 points, 21 rebounds, and 10 assists in the Mavericks' 126-121 overtime win against the New York Knicks in Dallas, Texas.","Luka Doncic of the Dallas Mavericks scored the first 60-point triple-double in the National Basketball Association. He scored 60 points, 21 rebounds, and 10 assists in a 126-121 overtime win against the New York Knicks.","Slovenian point guard, Luka Doncic of the Dallas Mavericks, scores the first 60-point triple-double in the National Basketball Association, the premier men's professional basketball league in the world, after scoring 60 points, 21 rebounds, and 10 assists in the Mavericks'126-121 overtime win against the New York Knicks in Dallas."
38,"The 8mm and 16mm camera props used in the film had real film inside them, with LaBelle being taught how to use the cameras so that what was shot with them on set can be developed for usage in the film, as well as how to cut and splice film stock using the editing machines and film projectors of the time period.","In the movie, the 8mm and 16mm camera props had real film inside them. Labelle was taught how to use the cameras and how to edit the film with machines and projectors of the time period. Thus, the footage he shot on set was able to be used in the movie.",rachel,The camera props used in the movie had real film. Labelle was also taught to use the cameras and older machines from the time period to cut and splice film stock. This was done so that the footage from the prop cameras could be used in the movie.,vishnesh,LaBelle was taught how to use 8mm and 16mm cameras containing real film. She also learned how to cut and splice the film using the equipment used in the era. The footage shot with these cameras was then developed and used in the film.,"LaBelle was taught how to use the 8mm and 16mm camera props with real film inside them, for the film. She also learned how to cut and splice film stock using the editing machines and projectors of the time period.","The 8mm and 16mm camera props used in the film had real film inside them. Because of this, LaBelle had to learn how to use the cameras so that what was shot with them on set could be used in the movie. She also had to learn how to use film projectors and editing machines.",The 8mm and 16mm camera props used in the movie had real film inside them. LaBelle was taught how to use the cameras so that what was shot with them on set can be developed for use in the movie.,The 8mm and 16mm camera props used in the movie had real film inside them. LaBelle was taught how to use the cameras so that what was shot with them on set can be used in the movie.
39,"Until 1939, Crawshay-Williams worked as a music critic before relocating in 1942 to Portmeirion, North Wales, where he taught English, French, and mathematics.","Crawshay-Williams was a music critic until 1939. In 1942 he moved to Portmeirion, North Wales, where he taught English, French, and math.",rachel,"Crawshay-Williams worked as a music critic until 1939. In 1942, he moved to Portmeirion, North Wales, where he taught English, French, and mathematics.",kelly,"Before 1939, Crawshay-Williams worked as a music critic. In 1942, he moved to Portmeirion in North Wales and began teaching English, French, and mathematics.","Until 1939, Crawshay-Williams was a music critic. In 1942 he moved to Portmeirion, North Wales, where he taught English, French, and mathematics.","Until 1939, Crawshay-Williams worked as a music critic. In 1942 he moved to Portmeirion, where he taught English, French, and mathematics.","Until 1939, Crawshay-Williams worked as a music critic. In 1942, he moved to Portmeirion, North Wales, where he taught English, French, and mathematics.","Until 1939, Crawshay-Williams worked as a music critic. In 1942 he moved to Portmeirion, North Wales, where he taught English, French, and mathematics."
